date,pitcher_name,team,milestone,odds,event_id,event_name,start_time_utc
2026-08-04,Eduardo Rodriguez,ARI,6,+290,34475025,SD Padres @ ARI Diamondbacks,2026-08-05T01:40:00.0000000Z
2026-08-04,Eduardo Rodriguez,ARI,7,+620,34475025,SD Padres @ ARI Diamondbacks,2026-08-05T01:40:00.0000000Z
2026-08-04,Eduardo Rodriguez,ARI,8,+1300,34475025,SD Padres @ ARI Diamondbacks,2026-08-05T01:40:00.0000000Z
2026-08-04,Randy Vasquez,SD,1,-1760,34475025,SD Padres @ ARI Diamondbacks,2026-08-05T01:40:00.0000000Z
2026-08-04,Randy Vasquez,SD,2,-283,34475025,SD Padres @ ARI Diamondbacks,2026-08-05T01:40:00.0000000Z
2026-08-04,Randy Vasquez,SD,3,+113,34475025,SD Padres @ ARI Diamondbacks,2026-08-05T01:40:00.0000000Z
2026-08-04,Randy Vasquez,SD,4,+297,34475025,SD Padres @ ARI Diamondbacks,2026-08-05T01:40:00.0000000Z
2026-08-04,Randy Vasquez,SD,5,+750,34475025,SD Padres @ ARI Diamondbacks,2026-08-05T01:40:00.0000000Z
2026-08-04,Randy Vasquez,SD,6,+1740,34475025,SD Padres @ ARI Diamondbacks,2026-08-05T01:40:00.0000000Z
2026-08-04,Troy Melton,DET,3,-1500,34475026,DET Tigers @ SEA Mariners,2026-08-05T01:40:00.0000000Z
2026-08-04,Troy Melton,DET,4,-484,34475026,DET Tigers @ SEA Mariners,2026-08-05T01:40:00.0000000Z
2026-08-04,Troy Melton,DET,5,-198,34475026,DET Tigers @ SEA Mariners,2026-08-05T01:40:00.0000000Z
2026-08-04,Troy Melton,DET,6,+111,34475026,DET Tigers @ SEA Mariners,2026-08-05T01:40:00.0000000Z
2026-08-04,Troy Melton,DET,7,+236,34475026,DET Tigers @ SEA Mariners,2026-08-05T01:40:00.0000000Z
2026-08-04,Troy Melton,DET,8,+491,34475026,DET Tigers @ SEA Mariners,2026-08-05T01:40:00.0000000Z
2026-08-04,Troy Melton,DET,9,+990,34475026,DET Tigers @ SEA Mariners,2026-08-05T01:40:00.0000000Z
2026-08-04,Emerson Hancock,SEA,3,-1120,34475026,DET Tigers @ SEA Mariners,2026-08-05T01:40:00.0000000Z
2026-08-04,Emerson Hancock,SEA,4,-386,34475026,DET Tigers @ SEA Mariners,2026-08-05T01:40:00.0000000Z
2026-08-04,Emerson Hancock,SEA,5,-163,34475026,DET Tigers @ SEA Mariners,2026-08-05T01:40:00.0000000Z
2026-08-04,Emerson Hancock,SEA,6,+134,34475026,DET Tigers @ SEA Mariners,2026-08-05T01:40:00.0000000Z
2026-08-04,Emerson Hancock,SEA,7,+285,34475026,DET Tigers @ SEA Mariners,2026-08-05T01:40:00.0000000Z
2026-08-04,Emerson Hancock,SEA,8,+582,34475026,DET Tigers @ SEA Mariners,2026-08-05T01:40:00.0000000Z
2026-08-04,Emerson Hancock,SEA,9,+1160,34475026,DET Tigers @ SEA Mariners,2026-08-05T01:40:00.0000000Z
