date,game_pk,pitcher_id,pitcher_name,pitcher_team,opponent_team,is_home,line,over_odds,under_odds,odds_source,expected_outs,p_over_raw,p_over_cal,fair_over,hold_pct,actual_outs,over_hit,logged_at
2026-08-26,823584,476594,Robert Stock,NYM,MIL,1,13.5,-134,+101,live,14.36,0.667,0.667,0.5351,0.0702,12,0,2026-08-27T01:18:49.078476+00:00
2026-08-26,824878,808963,Roki Sasaki,LAD,ATL,0,16.5,-111,-119,live,16.03,0.4877,0.4877,0.4919,0.0694,10,0,2026-08-27T01:18:49.078476+00:00
2026-08-26,823825,687473,Ryan Gusto,MIA,BOS,1,14.5,-115,-116,live,14.06,0.5591,0.5591,0.499,0.0719,17,1,2026-08-27T01:18:49.078476+00:00
2026-08-26,824555,680732,Sean Burke,CWS,TEX,1,17.5,-135,+101,live,16.64,0.5001,0.5001,0.5359,0.072,9,0,2026-08-27T01:18:49.078476+00:00
2026-08-26,823825,543243,Sonny Gray,BOS,MIA,0,17.5,-183,+137,live,16.64,0.4941,0.4941,0.6051,0.0686,15,0,2026-08-27T01:18:49.078476+00:00
2026-08-26,822692,685299,Tanner Gordon,COL,WSH,0,16.5,-108,-122,live,14.66,0.3197,0.3197,0.4858,0.0688,21,1,2026-08-27T01:28:57.618785+00:00
2026-08-26,824234,675512,Troy Melton,DET,TB,1,17.5,-141,+106,live,17.22,0.5765,0.5765,0.5465,0.0705,21,1,2026-08-27T01:01:37.621431+00:00
2026-08-27,822694,687312,Gabriel Hughes,COL,WSH,0,15.5,-123,-108,live,14.98,0.4276,0.4276,0.5151,0.0708,15,0,2026-08-27T19:07:14.880318+00:00
2026-08-27,822694,663623,Jake Irvin,WSH,COL,1,16.5,-118,-112,live,15.42,0.4093,0.4093,0.5061,0.0696,13,0,2026-08-27T18:36:39.374184+00:00
2026-08-27,823581,640455,Sean Manaea,NYM,MIL,1,17.5,-119,-111,live,17.07,0.5545,0.5545,0.5081,0.0694,17,0,2026-08-28T00:52:33.120378+00:00
2026-08-27,822771,681293,Spencer Arrighetti,TOR,KC,1,14.5,+105,-139,live,15.37,0.7036,0.7036,0.4562,0.0694,12,0,2026-08-28T00:22:06.722811+00:00
2026-08-27,823014,669432,Trevor Rogers,BAL,STL,0,17.5,-157,+118,live,16.63,0.4999,0.4999,0.5711,0.0696,15,0,2026-08-27T19:58:03.864350+00:00
